CODE	VN_NAME	EN_NAME	MARKET	INDUSTRY	IPO	IPO_SHARES	FTRD_DATE	FTRD_CLS	MINDATE	MINDATE_SHLI	MINDATE_SHOU	FTRD_SHLI	ENDDATE
HVG	CTCP Hùng Vương	Hung Vuong Corporation	HSX	Consumer Goods	2009/11/16	59999993	2009/11/25	57500	2009/11/25	59999993		59999993	2099/12/31
HVT	CTCP Hóa Chất Việt Trì	Viet Tri Chemicals Jsc	HNX	Basic Materials	2009/05/08	4438713	2009/05/08	26500	2009/05/08	4438713		4438713	2099/12/31
HVX	CTCP xi măng Vicem Hải Vân	Hai Van Cement Jsc	HSX	Industrials	2010/08/31	15500000	2010/09/28	10400	2010/09/28	15500000		15500000	2099/12/31
I40	Xây dựng HUD101	40 Investment And Construction Jsc	UPC	Industrials	2011/03/15	1539120	2011/03/15		2011/03/15	1539120		1539120	2099/12/31
ICF	CTCP Đầu tư Thương mại Thủy sản	Investment Commerce Fisheries Corporation	HSX	Consumer Goods	2006/12/18	11800000	2007/12/18	42000	2006/12/18	11800000		11800000	2099/12/31
ICF	CTCP Đầu tư Thương mại Thủy sản	Investment Commerce Fisheries Corporation	HNX	Consumer Goods		11800000	2006/12/18	30200				11800000	2007/12/03
ICG	CTCP Xây dựng Sông Hồng	Song Hong Construction Jsc	HNX	Industrials	2009/04/21	15000000	2009/04/21	13900	2009/04/21	15000000		15000000	2099/12/31
ICI	Đầu tư và XD Công nghiệp	Industrial Construction & Investment Jsc	UPC	Industrials	2010/07/06	3000000	2010/07/06	0	2010/07/06	3000000		3000000	2099/12/31
IDI	CTCP Đầu tư và Phát triển Đa Quốc Gia	International Development & Investment Corporation 	HSX	Consumer Goods	2011/05/17	38000000	2011/06/30	14400	2011/06/30	38000000		38000000	2099/12/31
IDJ	CTCP Đầu tư Tài chính Quốc tế và Phát triển Doanh nghiệp IDJ	Idj International Financial Investment And Enterprise	HNX	Financials	2010/09/13	32600000	2010/09/13	17200	2010/09/13	32600000		32600000	2099/12/31
IDV	CTCP Phát triển hạ tầng Vĩnh Phúc	Vinh Phuc Infrastructure Development Jsc	HNX	Financials	2010/06/01	3528500	2010/06/01	43000	2010/06/01	3528500		3528500	2099/12/31
IFS	CTCP Thực phẩm Quốc tế	Interfood Shareholding Company	HSX	Consumer Goods	2006/09/29	5729472	2006/10/17	50000	2006/10/17	5729472		5729472	2013/05/03
IHK	In Hàng Không	Aviation Printing Jsc	UPC	Consumer Services	2010/03/04	1700000	2010/03/04	19500	2010/03/04	1700000		1700000	2099/12/31
IJC	CTCP Phát triển Hạ tầng Kỹ thuật	Becamex Infrastructure Development Jsc	HSX	Financials	2010/04/05	54838905	2010/04/19	36000	2010/04/19	54838905		54838905	2099/12/31
ILC	CTCP Hợp tác Lao động với Nước ngoài	International Labor And Services Jsc	HNX	Industrials	2005/12/26	600000	2005/12/26	18000	2005/12/26	600000		600000	2099/12/31
IME	Xây lắp Công nghiệp	Mechanical & Industrial Construction Jsc	UPC	Industrials	2009/12/01	3000000	2009/12/01	0	2009/12/01	3000000		3000000	2099/12/31
IMP	CTCP Dược phẩm Imexpharm	Imexpharm Pharmaceutical Jsc 	HSX	Health Care	2006/11/15	8400000	2006/12/04	100000	2006/12/04	8400000		8400000	2099/12/31
IMT	Công ty Cổ phần Xuất nhập khẩu Đầu tư Thành phố Hồ Chí Minh	Hcmc General Import Export & Investment.	UPC	Consumer Services	2010/05/04	3000000	2010/05/04	0	2010/05/04	3000000		3000000	2099/12/31
IN4	In số 4	No.4 Printing Jsc	UPC	Consumer Services	2010/05/19	1200000	2010/05/19	0	2010/05/19	1200000		1200000	2099/12/31
INC	CTCP Tư vấn đầu tư IDICO	Idico Investment Consultancy Jsc	HNX	Industrials	2011/07/14	1800000	2011/07/14	13200	2011/07/14	1800000		1800000	2099/12/31
INN	CTCP Bao bì và In Nông nghiệp	Agriculture Printing And Packaging Jsc	HNX	Industrials	2010/01/22	5400000	2010/01/22	22000	2010/01/22	5400000		5400000	2099/12/31
ITA	CTCP Đầu tư Công nghiệp Tân Tạo	Tan Tao Investment Industry Corporation	HSX	Financials	2006/01/11	45000000	2006/11/15	54000	2006/11/15	45000000		45000000	2099/12/31
ITC	CTCP Đầu tư - Kinh doanh Nhà	Investment And Trading Of Real Estate Jsc	HSX	Financials	2009/09/24	23028896	2009/10/19	66000	2009/10/19	23028896		23028896	2099/12/31
ITD	CTCP Công nghệ Tiên Phong	Innovative Technology Development Corporation	HSX	Technology	2011/12/13	11610399	2011/12/20	10000	2009/12/04	11610399		11610399	2099/12/31
ITD	CTCP Công nghệ Tiên Phong	Innovative Technology Development Corporation	UPC	Technology	2009/04/12	11610399	2009/04/12	26000				11610399	2011/12/02
ITQ	CTCP Tập đoàn Thiên Quang	Thien Quang Group Joint Stock Company	HNX	Basic Materials	2012/10/01	10000000	2012/10/01	12900	2012/10/01	10000000		10000000	2099/12/31
IVS	CTCP Chứng Khoán Đầu Tư Việt Nam	Vietnam Investment Securities Company	HNX	Financials	2011/05/31	16100000	2011/08/01	7000	2011/08/01	16100000		16100000	2099/12/31
JSC	XD Cầu đường Hà Nội	Ha Noi Civil Construction & Investment Jsc	UPC	Industrials	2010/04/22	1550000	2010/04/22	0	2010/04/22	1550000		1550000	2099/12/31
JVC	CTCP Thiết bị Y tế Việt Nhật	Viet Nhat Medical Instrument Jsc	HSX	Health Care	2011/06/01	24200000	2011/06/21	24800	2011/06/21	24200000		24200000	2099/12/31
KAC	CTCP Đầu tư Địa ốc Khang An	Khang An Investment Real Estate Jsc	HSX	Financials	2010/10/08	20000000	2010/10/27	31900	2010/10/27	20000000		20000000	2099/12/31
KBC	Tổng Công ty Phát triển Đô Thị Kinh Bắc – CTCP	Kinh Bac City Development Share Holding Corporation	HSX	Financials	2007/12/18	88000000	2009/12/18	56000	2007/12/18	88000000		88000000	2099/12/31
KBC	Tổng Công ty Phát triển Đô Thị Kinh Bắc – CTCP	Kinh Bac City Development Share Holding Corporation	HNX	Financials		88000000	2007/12/18	162000				88000000	2009/12/08
KBE	Sách TBTH Kiên Giang	Kien Giang Book And Equipment Jsc	UPC	Consumer Services	2010/03/01	1231060	2010/03/01		2010/03/01	1231060		1231060	2099/12/31
KBT	CTCP Gạch ngói Kiên Giang	Kien Giang Brick Tile Jsc	HNX	Industrials	2010/07/29	2335961	2010/07/29	25000	2010/07/29	2335961		2335961	2013/11/28
KCE	Công ty Cổ phần Bê tông Ly tâm Điện lực Khánh Hòa	Khanh Hoa Power Centrifugal Concrete Jsc	UPC	Industrials	2011/02/08	1500000	2011/02/08	0	2011/02/08	1500000		1500000	2099/12/31
KDC	CTCP Kinh Đô	Kinh Do Corporation 	HSX	Consumer Goods	2005/11/18	25000000	2005/12/12	59000	2005/12/12	25000000		25000000	2099/12/31
KDH	CTCP Đầu tư và Kinh doanh Nhà Khang Điền	Khang Dien House Trading And Investment Jsc	HSX	Financials	2010/01/21	33200000	2010/02/01	48000	2010/02/01	33200000		33200000	2099/12/31
KHA	CTCP Xuất Nhập Khẩu Khánh Hội	Khanh Hoi Import Export Jsc	HSX	Financials	2002/08/14	3135000	2002/08/19	21500	2002/08/19	3135000		3135000	2099/12/31
KHB	CTCP Khoáng sản Hòa Bình	Hoabinh Mineral Jsc	HNX	Basic Materials	2010/05/19	1270000	2010/05/19	58000	2010/05/19	1270000		1270000	2099/12/31
KHL	CTCP Khoáng sản và vật liệu xây dựng Hưng Long	Hung Long Mineral And Building Material JSC	HNX	Industrials	2012/02/21	5600000	2012/02/21	5900	2012/02/21	5600000		5600000	2099/12/31
KHP	CTCP Điện lực Khánh Hòa	Khanh Hoa Power Jsc	HSX	Utilities	2006/12/08	16322100	2006/12/27	24500	2005/07/14	16322100		16322100	2099/12/31
KHP	CTCP Điện lực Khánh Hòa	Khanh Hoa Power Jsc	HNX	Utilities		16322100	2005/07/14	15000				16322100	2006/12/12
KKC	CTCP Sản xuất và Kinh doanh Kim khí	Produce And Trading Metal Jsc	HNX	Basic Materials	2008/08/21	5200000	2008/08/21	108000	2008/08/21	5200000		5200000	2099/12/31
KLF	Công ty Cổ phần Liên doanh Đầu tư Quốc tế FLC	Join Venture Global Investment Joint Stock Company	HNX	Consumer Services	2013/09/23	26000000	2013/09/23						2099/12/31
KLS	CTCP Chứng khoán Kim Long	Kim Long Securities Corporation	HNX	Financials	2008/01/28	30650000	2008/01/28	53000	2008/01/28	30650000		30650000	2099/12/31
KMF	Công ty Cổ phần Mirae Fiber	Mirae Fiber Joint Stock Company	HNX	Basic Materials			2007/12/14						
KMR	CTCP MIRAE	Mirae Jsc	HSX	Consumer Goods	2008/06/23	7236850	2008/06/30	48000	2008/06/30	7236850		7236850	2099/12/31
KMT	CTCP Kim Khí Miền Trung	Central Vietnam Metal Corporation	HNX	Basic Materials	2010/12/15	9846562	2010/12/15	14500	2009/08/10	8870885		9846562	2099/12/31
KMT	CTCP Kim Khí Miền Trung	Central Vietnam Metal Corporation	UPC	Basic Materials	2009/08/10	8870885	2009/10/08	15000				8870885	2010/11/30
KSA	CTCP Công Nghiệp Khoáng sản Bình Thuận	Binh Thuan Hamico Mineral Jsc	HSX	Basic Materials	2010/07/07	12868800	2010/07/27	60000	2010/07/27	12868800		12868800	2099/12/31
KSB	CTCP Khoáng sản và Xây dựng Bình Dương	Binh Duong Mineral And Construction Jsc	HSX	Basic Materials	2009/12/17	10700000	2010/01/20	42000	2010/01/20	10700000		10700000	2099/12/31
KSC	Muối Khánh Hòa	Khanh Hoa Salt Jsc	UPC	Consumer Goods	2010/05/28	3739823	2010/05/28	0	2010/05/28	3739823		3739823	2099/12/31
