id	IDX_CODE	IDX_NAME	IDX_CURR	IDX_BASE	IDX_TYPE	IDX_MOTHER	IDX_DIVISOR	IDX_MCAP	IDX_LAST	DATES	TIMES	RECORDS	CALCULS	PUBLICATIONS	IDX_PLAST	IDX_DCAP	TO_ADJUST	IDX_MCAP_NXT	IDX_DIVISOR_NXT	IDX_BBS	IDX_CONV	NXT_DATES
20056	PVNBMTRJPY	PVN BASIC MATERIALS TR (JPY)	JPY	1000	R	PVNBMPRVND	37735849057	52495714213	1429.95	9/13/2012	0:00:00	1	1	0	1356.87	0	0	  	  	Sectors	282	
20057	PVNBMTREUR	PVN BASIC MATERIALS TR (EUR)	EUR	1000	R	PVNBMPRVND	3.44828E+11	496593550	1480.59	9/13/2012	0:00:00	1	1	0	1391.54	0	0	  	  	Sectors	29810.68	
20058	PVNCSTRVND	PVN CONSUMER SERVICES TR 	VND	1000	R	PVNCSPRVND	1E+13	7.88159E+11	78.72	9/13/2012	0:00:00	1	1	0	85.14	0	0	  	  	Sectors	1	
20059	PVNCSTRUSD	PVN CONSUMER SERVICES TR (USD)	USD	1000	R	PVNCSPRVND	4.7619E+11	36005416.17	75.14	9/13/2012	0:00:00	1	1	0	85.4	0	0	  	  	Sectors	21890	
20060	PVNCSTRJPY	PVN CONSUMER SERVICES TR (JPY)	JPY	1000	R	PVNCSPRVND	37735849057	2794888511	74.36	9/13/2012	0:00:00	1	1	0	83.38	0	0	  	  	Sectors	282	
20061	PVNCSTREUR	PVN CONSUMER SERVICES TR (EUR)	EUR	1000	R	PVNCSPRVND	3.44828E+11	26438798.44	77.23	9/13/2012	0:00:00	1	1	0	85.88	0	0	  	  	Sectors	29810.68	
20062	PVNFITRVND	PVN FINANCIALS TR 	VND	1000	R	PVNFIPRVND	1E+13	1.06838E+13	1068.61	9/13/2012	0:00:00	5	1	0	1114.03	0	0	  	  	Sectors	1	
20063	PVNFITRUSD	PVN FINANCIALS TR (USD)	USD	1000	R	PVNFIPRVND	4.7619E+11	488066309.3	1025.43	9/13/2012	0:00:00	5	1	0	1121.46	0	0	  	  	Sectors	21890	
20064	PVNFITRJPY	PVN FINANCIALS TR (JPY)	JPY	1000	R	PVNFIPRVND	37735849057	37885714574	1003.8	9/13/2012	0:00:00	5	1	0	1093.63	0	0	  	  	Sectors	282	
20065	PVNFITREUR	PVN FINANCIALS TR (EUR)	EUR	1000	R	PVNFIPRVND	3.44828E+11	358387380.3	1039.47	9/13/2012	0:00:00	5	1	0	1122.16	0	0	  	  	Sectors	29810.68	
20066	PVNINTRVND	PVN INDUSTRIALS TR 	VND	1000	R	PVNINPRVND	1E+13	1.26959E+13	1269.6	9/13/2012	0:00:00	15	1	0	617.68	0	0	  	  	Sectors	1	
20067	PVNINTRUSD	PVN INDUSTRIALS TR (USD)	USD	1000	R	PVNINPRVND	4.7619E+11	579985552.1	1217.93	9/13/2012	0:00:00	15	1	0	621.43	0	0	  	  	Sectors	21890	
20068	PVNINTRJPY	PVN INDUSTRIALS TR (JPY)	JPY	1000	R	PVNINPRVND	37735849057	45020864306	1192.88	9/13/2012	0:00:00	15	1	0	606.68	0	0	  	  	Sectors	282	
20069	PVNINTREUR	PVN INDUSTRIALS TR (EUR)	EUR	1000	R	PVNINPRVND	3.44828E+11	425883734.8	1235.41	9/13/2012	0:00:00	15	1	0	622.29	0	0	  	  	Sectors	29810.68	
20070	PVNOGTRVND	PVN OIL & GAS TR 	VND	1000	R	PVNOGPRVND	1E+13	1.39577E+13	1526.72	9/13/2012	0:00:00	5	1	0	421.55	0	0	  	  	Sectors	1	
20071	PVNOGTRUSD	PVN OIL & GAS TR (USD)	USD	1000	R	PVNOGPRVND	4.7619E+11	637629757.2	1463.48	9/13/2012	0:00:00	5	1	0	424.27	0	0	  	  	Sectors	21890	
20072	PVNOGTRJPY	PVN OIL & GAS TR (JPY)	JPY	1000	R	PVNOGPRVND	37735849057	49495444628	1433.14	9/13/2012	0:00:00	5	1	0	414	0	0	  	  	Sectors	282	
20073	PVNOGTREUR	PVN OIL & GAS TR (EUR)	EUR	1000	R	PVNOGPRVND	3.44828E+11	468211908.8	1483.81	9/13/2012	0:00:00	5	1	0	424.29	0	0	  	  	Sectors	29810.68	
20074	PVNUTTRVND	PVN UTILITIES TR 	VND	1000	R	PVNUTPRVND	1E+13	3.29003E+12	327.92	9/13/2012	0:00:00	3	1	0	173.98	0	0	  	  	Sectors	1	
20075	PVNUTTRUSD	PVN UTILITIES TR (USD)	USD	1000	R	PVNUTPRVND	4.7619E+11	150298172.7	315.36	9/13/2012	0:00:00	3	1	0	175.66	0	0	  	  	Sectors	21890	
20076	PVNUTTRJPY	PVN UTILITIES TR (JPY)	JPY	1000	R	PVNUTPRVND	37735849057	11666762411	308.78	9/13/2012	0:00:00	3	1	0	170.6	0	0	  	  	Sectors	282	
20077	PVNUTTREUR	PVN UTILITIES (EUR)	EUR	1000	R	PVNUTPRVND	3.44828E+11	110364037.3	319.67	9/13/2012	0:00:00	3	1	0	175.04	0	0	  	  	Sectors	29810.68	
