STK_CODE	STK_NAME	STK_SHARES_IDX	STK_FLOAT_IDX	STK_CAPP_IDX	STK_PRICE	STK_CURR	STK_MULT	CURR_CONV	STK_CURR_CONV	STK_MCAP_IDX	DATES	TIMES	STK_DCAP_IDX	STK_DCURR_CONV	STK_DPRICE	IDX_CURR	IDX_CODE	STK_WGT	NXT_SHARES_IDX	NXT_FLOAT_IDX	NXT_CAPP_IDX	NXT_PRICE	NXT_ADJUST	TO_ADJUST
PXM	Mientrung Petroleum Construction	35000000	100	100	3200.000	VND	1	1.00	3200.000	112000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	0.19%						0
PCG	PetroVietnam Gas City Investment and Development JSC	297802094	100	100	6100.000	VND	1	1.00	6100.000	1816592773400.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	3.07%						0
PCT	Cuu Long Petro Gas Service Transportation	38000000	100	100	2900.000	VND	1	1.00	2900.000	110200000000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	0.19%						0
PPE	PetroVietnam Power Engineering Consulting JSC	27719850	100	100	35400.000	VND	1	1.00	35400.000	981282690000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	1.66%						0
DPM	PVN Fertilizer and Chemicals	377647740	100	100	39200.000	VND	1	1.00	39200.000	14803791408000.00 	2012/09/13	0:00:00		  	  	VND	PVNHSXPRVND	24.99%						0
PVD	PVN Drilling & Well Services	70371300	100	100	35000.000	VND	1	1.00	35000.000	2462995500000.00 	2012/09/13	0:00:00		  	  	VND	PVNHSXPRVND	4.16%						0
PVF	PVN Finance	100000000	100	100	8300.000	VND	1	1.00	8300.000	830000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNHSXPRVND	1.40%						0
PGD	PVN Low Pressure Gas Distribution	600000000	100	100	38800.000	VND	1	1.00	38800.000	23280000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNHSXPRVND	39.30%						0
PVT	PVN Transportation	232600000	100	100	4300.000	VND	1	1.00	4300.000	1000180000000.00 	2012/09/13	0:00:00		  	  	VND	PVNHSXPRVND	1.69%						0
PET	PVN General Services	30000000	100	100	11200.000	VND	1	1.00	11200.000	336000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNHSXPRVND	0.57%						0
PTL	Petro Capital and Infrastructure Investment	15000000	100	100	2900.000	VND	1	1.00	2900.000	43500000000.00 	2012/09/13	0:00:00		  	  	VND	PVNHSXPRVND	0.07%						0
PXS	Petroleum Equipment Assembly and Metal Structure	37518001	100	100	9400.000	VND	1	1.00	9400.000	352669209400.00 	2012/09/13	0:00:00		  	  	VND	PVNHSXPRVND	0.60%						0
PXI	Petroleum Industrial and Civil Construction	20000000	100	100	4000.000	VND	1	1.00	4000.000	80000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNHSXPRVND	0.14%						0
PXT	Petroleum Pipeline and Tank Construction	42900000	100	100	4200.000	VND	1	1.00	4200.000	180180000000.00 	2012/09/13	0:00:00		  	  	VND	PVNHSXPRVND	0.30%						0
